speech_id,stratum,role,seg_index,start,duration,n_tokens,nrc_polarity,valence,arousal,dominance,emo_anger,emo_anticipation,emo_disgust,emo_fear,emo_joy,emo_sadness,emo_surprise,emo_trust,n_emolex,n_vad,pysent_label,pysent_polarity,text
10-03-04-m-005,II,ST,0,0.0,2.37,6,1.0,0.8175,0.4875,0.7495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,1,2,POS,0.9792,thank you very much Mr President
10-03-04-m-005,II,ST,1,2.37,8.149999999999999,25,1.0,0.8131,0.4471,0.5774,0.0,0.08,0.0,0.0,0.04,0.0,0.0,0.08,6,7,POS,0.9896,honourable members I'm very happy to address you today in relation to the preparations for the Spring European Council and the IGC follow-up
10-03-04-m-005,II,ST,2,10.52,24.45,75,1.0,0.6768,0.4688,0.6513,0.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.0133,17,26,NEU,0.0993,on the Lisbon Agenda as you will be aware from our detailed discussions on the Lisbon strategy at the last part-session the Irish presidency is determined that the primary focus of the Spring Council should be as set out in the Lisbon set out at Lisbon and Gothenburg the follow-up to the Lisbon strategy with a strong emphasis on implementation and the need to target specific areas for concerted action by the Union
10-03-04-m-005,II,ST,3,34.97,7.450000000000003,16,0.0,0.697,0.417,0.6663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,NEU,0.0144,the future financial perspectives and current issues on on the international agenda will also be addressed
10-03-04-m-005,II,ST,4,42.42,16.689999999999998,42,1.0,0.7281,0.4858,0.6504,0.0,0.0952,0.0,0.0,0.0476,0.0,0.0,0.0714,13,19,POS,0.7391,the presidency has consistently reiterated the need for the Spring European Council to give a strong signal as to the continued importance of the Lisbon strategy in providing a framework from simultaneous progress on economic social and environmental renewal throughout the Union
10-03-04-m-005,II,ST,5,59.11,9.64,30,1.0,0.617,0.3251,0.465,0.0,0.0333,0.0,0.0,0.0,0.0,0.0,0.1,9,12,NEU,0.0401,when I addressed the Parliament last night last month I outlined the issues on which we intend to focus at the Spring Council on twenty-five and twenty-six March
10-03-04-m-005,II,ST,6,68.75,14.620000000000005,39,0.2,0.6717,0.3906,0.612,0.0256,0.0513,0.0,0.0,0.0513,0.0256,0.0,0.0513,9,15,POS,0.9778,I'm pleased that Member States share our our conviction that the agenda for the European Council should remain focused and have have given broad support for our approach to of concentrating on a limited number of key issues
10-03-04-m-005,II,ST,7,83.37,17.53,39,0.5,0.6635,0.4295,0.5735,0.0,0.0513,0.0,0.0,0.0,0.0,0.0,0.0513,7,11,NEU,0.257,similarly Member States have also agreed that the overreaching priorities for the Council should be those of sustainable growth and employment as identified excuse me by us in the first draft of the annotated agenda issued on seventeenth February
10-03-04-m-005,II,ST,8,100.9,10.079999999999998,24,1.0,0.7025,0.453,0.6709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,11,11,NEU,0.1354,the Commission communication on the future financial perspectives Building our Common Future was launched here on tenth February by Commissioner by Commission President Prodi
10-03-04-m-005,II,ST,9,110.98,14.450000000000003,39,1.0,0.6822,0.4314,0.5885,0.0,0.0769,0.0,0.0256,0.0,0.0,0.0,0.0513,10,13,NEU,0.0152,the presidency's approach which has been agreed by Member States is that while no discussion is expected the Spring European Council should agree conclusions on the procedure to be followed in considering the dossier over the coming months
10-03-04-m-005,II,ST,10,125.43,11.569999999999993,26,1.0,0.6584,0.5078,0.6254,0.0,0.0385,0.0,0.0,0.0385,0.0,0.0385,0.0385,7,8,NEU,0.0209,turning now to the Intergovernmental Conference the Taoiseach has the Taoiseach will present the Irish presidency's report on where matters stand in the Intergovernmental Conference
10-03-04-m-005,II,ST,11,137.0,6.349999999999994,21,0.3333333333333333,0.5836,0.3896,0.6019,0.0,0.0476,0.0,0.0476,0.0,0.0,0.0,0.0,5,8,NEU,0.0172,it is intended that this will be discussed over dinner on the first evening by the Heads of State and Government
