speech_id,stratum,role,seg_index,start,duration,polarity,n_tokens,text_clean
10-03-04-m-005,II,ST,0,0.0,2.37,0.0,6,thank you very much Mr President
10-03-04-m-005,II,ST,1,2.37,8.149999999999999,0.0,25,honourable members I'm very happy to address you today in relation to the preparations for the Spring European Council and the IGC follow-up
10-03-04-m-005,II,ST,2,10.52,24.45,0.0,75,on the Lisbon Agenda as you will be aware from our detailed discussions on the Lisbon strategy at the last part-session the Irish presidency is determined that the primary focus of the Spring Council should be as set out in the Lisbon set out at Lisbon and Gothenburg the follow-up to the Lisbon strategy with a strong emphasis on implementation and the need to target specific areas for concerted action by the Union
10-03-04-m-005,II,ST,3,34.97,7.450000000000003,0.0,16,the future financial perspectives and current issues on on the international agenda will also be addressed
10-03-04-m-005,II,ST,4,42.42,16.689999999999998,1.0,42,the presidency has consistently reiterated the need for the Spring European Council to give a strong signal as to the continued importance of the Lisbon strategy in providing a framework from simultaneous progress on economic social and environmental renewal throughout the Union
10-03-04-m-005,II,ST,5,59.11,9.64,0.0,30,when I addressed the Parliament last night last month I outlined the issues on which we intend to focus at the Spring Council on twenty-five and twenty-six March
10-03-04-m-005,II,ST,6,68.75,14.620000000000005,1.0,39,I'm pleased that Member States share our our conviction that the agenda for the European Council should remain focused and have have given broad support for our approach to of concentrating on a limited number of key issues
10-03-04-m-005,II,ST,7,83.37,17.53,0.0,39,similarly Member States have also agreed that the overreaching priorities for the Council should be those of sustainable growth and employment as identified excuse me by us in the first draft of the annotated agenda issued on seventeenth February
10-03-04-m-005,II,ST,8,100.9,10.079999999999998,0.0,24,the Commission communication on the future financial perspectives Building our Common Future was launched here on tenth February by Commissioner by Commission President Prodi
10-03-04-m-005,II,ST,9,110.98,14.450000000000003,0.0,39,the presidency's approach which has been agreed by Member States is that while no discussion is expected the Spring European Council should agree conclusions on the procedure to be followed in considering the dossier over the coming months
10-03-04-m-005,II,ST,10,125.43,11.569999999999993,0.0,26,turning now to the Intergovernmental Conference the Taoiseach has the Taoiseach will present the Irish presidency's report on where matters stand in the Intergovernmental Conference
10-03-04-m-005,II,ST,11,137.0,6.349999999999994,0.0,21,it is intended that this will be discussed over dinner on the first evening by the Heads of State and Government
10-03-04-m-005,II,ST,12,143.35,9.590000000000003,0.0,24,it is the presidency's intention to invite representatives of observers at the IGC including the President of the European Parliament to be present
10-03-04-m-005,II,ST,13,152.94,13.539999999999992,0.0,40,on the basis of our report and following discussions at the dinner it will then be for the European Council to decide how best to proceed and in particular whether the time is ripe for the IGC to be reconvened
10-03-04-m-005,II,ST,14,166.48,8.430000000000007,1.0,29,I hope that you will understand that it is not appropriate for me at this time to go into any detail on that on what that report will contain
10-03-04-m-005,II,ST,15,174.91,6.140000000000015,0.0,11,we have still not definitively concluded our analysis of the situation
10-03-04-m-005,II,ST,16,181.05,10.039999999999992,0.0,23,consultations and contacts are ongoing and the Taoiseach owes it to his colleagues to present matters to them in a very direct manner
10-03-04-m-005,II,ST,17,191.09,3.3700000000000045,0.0,7,however I would offer the following observations
10-03-04-m-005,II,ST,18,194.46,9.23999999999998,0.0,24,in keeping with our mandate from Brussels in December the Irish presidency has consulted widely among participants in the IGC including the European Parliament
10-03-04-m-005,II,ST,19,203.7,4.3700000000000045,0.0,12,the Taoiseach has spoken with all other members of the European Council
10-03-04-m-005,II,ST,20,208.07,6.420000000000016,0.0,14,intensive and detailed discussions have also taken place at ministerial and at official level
10-03-04-m-005,II,ST,21,214.49,4.719999999999999,1.0,15,partners have agreed with us in good faith and in a positive and constructive way
10-03-04-m-005,II,ST,22,219.21,5.47999999999999,0.0,14,as a result we have a deeper appreciation of the concerns of all involved
10-03-04-m-005,II,ST,23,224.69,8.650000000000006,0.0,19,we also have a a greater understanding of where of where scope for compromise and possible agreements might lie
10-03-04-m-005,II,ST,24,233.34,7.549999999999983,0.0,20,we've had very useful and detailed discussions with the Parliament's representatives Mr Hänsch and Mr and Mr Brok
